"PV_code","Provincie","Code","Jaar","ID","Geslacht","Burgelijke_Staat","Perioden","Bevolking","Gem_Bevolking"
"PV20  ","Groningen (PV)","10600","6 jaar","37828161","4000","1010","2023JJ00","2596","  2505.5"
"PV20  ","Groningen (PV)","17200","72 jaar","30777793","3000","1050","2023JJ00","246","   234.0"
"PV20  ","Groningen (PV)","18500","85 jaar","51217081","4000","1010","2023JJ00","53","    62.0"
"PV20  ","Groningen (PV)","15600","56 jaar","27964425","3000","T001019","2023JJ00","4044","  4017.5"
"PV20  ","Groningen (PV)","10010","0 jaar","36777385","4000","T001019","2023JJ00","2460","  1198.5"
"PV20  ","Groningen (PV)","15400","54 jaar","27625465","3000","T001019","2023JJ00","4050","  4401.5"
"PV20  ","Groningen (PV)","12400","24 jaar","4305017","T001038","1020","2023JJ00","430","   295.0"
"PV20  ","Groningen (PV)","17900","79 jaar","50166305","4000","T001019","2023JJ00","2255","  2416.5"
"PV20  ","Groningen (PV)","16200","62 jaar","29082993","3000","1050","2023JJ00","95","    49.5"
"PV20  ","Groningen (PV)","13600","36 jaar","6372673","T001038","1050","2023JJ00","1","    11.0"
"PV20  ","Groningen (PV)","16000","60 jaar","28744033","3000","1050","2023JJ00","90","    78.0"
"PV20  ","Groningen (PV)","11800","18 jaar","3288137","T001038","1020","2023JJ00","0","     1.0"
"PV20  ","Groningen (PV)","11800","18 jaar","3254241","T001038","1010","2023JJ00","7494","  6969.0"
"PV20  ","Groningen (PV)","17200","72 jaar","30811689","3000","1080","2023JJ00","376","   441.5"
"PV20  ","Groningen (PV)","16200","62 jaar","47319041","4000","1010","2023JJ00","575","   595.0"
"PV20  ","Groningen (PV)","19904","103 jaar","36201153","3000","1050","2023JJ00","1","     3.0"
"PV20  ","Groningen (PV)","10010","0 jaar","36811281","4000","1010","2023JJ00","2460","  1198.5"
"PV20  ","Groningen (PV)","13600","36 jaar","24574825","3000","T001019","2023JJ00","3494","  3694.5"
"PV20  ","Groningen (PV)","19100","91 jaar","15626281","T001038","1010","2023JJ00","37","    37.0"
"PV20  ","Groningen (PV)","14800","48 jaar","26642481","3000","1010","2023JJ00","1353","  1338.0"
"PV20  ","Groningen (PV)","17300","73 jaar","49149425","4000","T001019","2023JJ00","3157","  3131.5"
"PV20  ","Groningen (PV)","10600","6 jaar","1220481","T001038","1010","2023JJ00","5328","  5113.0"
"PV20  ","Groningen (PV)","16000","60 jaar","28777929","3000","1080","2023JJ00","665","   653.5"
"PV20  ","Groningen (PV)","11800","18 jaar","3322033","T001038","1050","2023JJ00","0","     0.0"
"PV20  ","Groningen (PV)","12400","24 jaar","40946593","4000","1050","2023JJ00","1","     1.0"
"PV20  ","Groningen (PV)","13000","30 jaar","5389689","T001038","1080","2023JJ00","124","   128.5"
"PV20  ","Groningen (PV)","15600","56 jaar","28066113","3000","1050","2023JJ00","44","    56.0"
"PV20  ","Groningen (PV)","11800","18 jaar","3220345","T001038","T001019","2023JJ00","7494","  6970.0"
"PV20  ","Groningen (PV)","11200","12 jaar","2271257","T001038","1020","2023JJ00","",""
"PV20  ","Groningen (PV)","15400","54 jaar","27693257","3000","1020","2023JJ00","2087","  2254.0"
"PV20  ","Groningen (PV)","19100","91 jaar","15660177","T001038","1020","2023JJ00","188","   234.0"
"PV20  ","Groningen (PV)","11200","12 jaar","2203465","T001038","T001019","2023JJ00","5828","  5843.5"
"PV20  ","Groningen (PV)","14800","48 jaar","26676377","3000","1020","2023JJ00","1671","  1627.5"
"PV20  ","Groningen (PV)","19100","91 jaar","15592385","T001038","T001019","2023JJ00","843","  1021.5"
"PV20  ","Groningen (PV)","16700","67 jaar","48132545","4000","T001019","2023JJ00","3579","  3665.5"
"PV20  ","Groningen (PV)","11800","18 jaar","3355929","T001038","1080","2023JJ00","0","     0.0"
"PV20  ","Groningen (PV)","10600","6 jaar","1186585","T001038","T001019","2023JJ00","5328","  5113.0"
"PV20  ","Groningen (PV)","18500","85 jaar","14575505","T001038","T001019","2023JJ00","2276","  2482.0"
"PV20  ","Groningen (PV)","10010","0 jaar","237497","T001038","1020","2023JJ00","",""
"PV20  ","Groningen (PV)","10010","0 jaar","203601","T001038","1010","2023JJ00","4940","  2400.5"
"PV20  ","Groningen (PV)","17900","79 jaar","13592521","T001038","1010","2023JJ00","185","   220.0"
"PV20  ","Groningen (PV)","10010","0 jaar","169705","T001038","T001019","2023JJ00","4940","  2400.5"
"PV20  ","Groningen (PV)","17900","79 jaar","13558625","T001038","T001019","2023JJ00","4244","  4558.5"
"PV20  ","Groningen (PV)","14800","48 jaar","26710273","3000","1050","2023JJ00","17","    10.5"
"PV20  ","Groningen (PV)","10600","6 jaar","1322169","T001038","1080","2023JJ00","",""
"PV20  ","Groningen (PV)","17300","73 jaar","12575641","T001038","1010","2023JJ00","482","   538.0"
"PV20  ","Groningen (PV)","18500","85 jaar","14711089","T001038","1080","2023JJ00","154","   161.5"
"PV20  ","Groningen (PV)","17300","73 jaar","12541745","T001038","T001019","2023JJ00","6215","  6172.0"
"PV20  ","Groningen (PV)","14200","42 jaar","25693393","3000","1050","2023JJ00","9","     3.0"
"PV20  ","Groningen (PV)","10010","0 jaar","305289","T001038","1080","2023JJ00","",""
"PV20  ","Groningen (PV)","12400","24 jaar","22608857","3000","1020","2023JJ00","127","    84.5"
"PV20  ","Groningen (PV)","16700","67 jaar","11524865","T001038","T001019","2023JJ00","7143","  7252.0"
"PV20  ","Groningen (PV)","12200","22 jaar","22269897","3000","1020","2023JJ00","33","    20.0"
"PV20  ","Groningen (PV)","13600","36 jaar","24676513","3000","1050","2023JJ00","0","     2.0"
"PV20  ","Groningen (PV)","15400","54 jaar","27761049","3000","1080","2023JJ00","604","   724.5"
"PV20  ","Groningen (PV)","11800","18 jaar","21591977","3000","1020","2023JJ00","0","     0.0"
"PV20  ","Groningen (PV)","16100","61 jaar","10507985","T001038","T001019","2023JJ00","7816","  7991.0"
"PV20  ","Groningen (PV)","13000","30 jaar","23659633","3000","1050","2023JJ00","0","     0.5"
"PV20  ","Groningen (PV)","16300","63 jaar","29150785","3000","T001019","2023JJ00","3924","  3796.5"
"PV20  ","Groningen (PV)","11200","12 jaar","20575097","3000","1020","2023JJ00","",""
"PV20  ","Groningen (PV)","14200","42 jaar","25727289","3000","1080","2023JJ00","238","   233.5"
"PV20  ","Groningen (PV)","15500","55 jaar","9491105","T001038","T001019","2023JJ00","8075","  7956.5"
"PV20  ","Groningen (PV)","12400","24 jaar","22642753","3000","1050","2023JJ00","0","     0.0"
"PV20  ","Groningen (PV)","15700","57 jaar","28133905","3000","T001019","2023JJ00","4140","  4039.0"
"PV20  ","Groningen (PV)","10600","6 jaar","19558217","3000","1020","2023JJ00","",""
"PV20  ","Groningen (PV)","13600","36 jaar","24710409","3000","1080","2023JJ00","146","   122.5"
"PV20  ","Groningen (PV)","14400","44 jaar","44268401","4000","1010","2023JJ00","1183","  1125.0"
"PV20  ","Groningen (PV)","11800","18 jaar","21625873","3000","1050","2023JJ00","0","     0.0"
"PV20  ","Groningen (PV)","12600","26 jaar","41183865","4000","T001019","2023JJ00","4328","  4702.0"
"PV20  ","Groningen (PV)","10010","0 jaar","18541337","3000","1020","2023JJ00","",""
"PV20  ","Groningen (PV)","17900","79 jaar","31930257","3000","1020","2023JJ00","1411","  1503.5"
"PV20  ","Groningen (PV)","11200","12 jaar","20608993","3000","1050","2023JJ00","",""
"PV20  ","Groningen (PV)","19700","97 jaar","16846537","T001038","1020","2023JJ00","15","    10.0"
"PV20  ","Groningen (PV)","19100","91 jaar","33997913","3000","1050","2023JJ00","127","   170.0"
"PV20  ","Groningen (PV)","12400","24 jaar","22676649","3000","1080","2023JJ00","7","     4.0"
"PV20  ","Groningen (PV)","17300","73 jaar","30913377","3000","1020","2023JJ00","2118","  2120.5"
"PV20  ","Groningen (PV)","10600","6 jaar","19592113","3000","1050","2023JJ00","",""
"PV20  ","Groningen (PV)","18500","85 jaar","32981033","3000","1050","2023JJ00","234","   248.0"
"PV20  ","Groningen (PV)","19700","97 jaar","35116481","3000","1010","2023JJ00","1","     0.0"
"PV20  ","Groningen (PV)","11800","18 jaar","21659769","3000","1080","2023JJ00","0","     0.0"
"PV20  ","Groningen (PV)","12600","26 jaar","41217761","4000","1010","2023JJ00","3747","  4208.0"
"PV20  ","Groningen (PV)","10010","0 jaar","18575233","3000","1050","2023JJ00","",""
"PV20  ","Groningen (PV)","17900","79 jaar","31964153","3000","1050","2023JJ00","294","   344.5"
"PV20  ","Groningen (PV)","13600","36 jaar","43014249","4000","1080","2023JJ00","211","   228.5"
"PV20  ","Groningen (PV)","16100","61 jaar","28879617","3000","1020","2023JJ00","2406","  2372.5"
"PV20  ","Groningen (PV)","19100","91 jaar","34031809","3000","1080","2023JJ00","7","    12.0"
"PV20  ","Groningen (PV)","19904","103 jaar","36133361","3000","1010","2023JJ00","0","     0.0"
"PV20  ","Groningen (PV)","17300","73 jaar","30947273","3000","1050","2023JJ00","281","   252.0"
"PV20  ","Groningen (PV)","10600","6 jaar","19626009","3000","1080","2023JJ00","",""
"PV20  ","Groningen (PV)","15500","55 jaar","27862737","3000","1020","2023JJ00","2207","  2092.5"
"PV20  ","Groningen (PV)","12600","26 jaar","41319449","4000","1080","2023JJ00","32","    23.0"
"PV20  ","Groningen (PV)","14900","49 jaar","26845857","3000","1020","2023JJ00","1762","  1677.5"
"PV20  ","Groningen (PV)","16700","67 jaar","29930393","3000","1050","2023JJ00","131","   147.0"
"PV20  ","Groningen (PV)","10010","0 jaar","18609129","3000","1080","2023JJ00","",""
"PV20  ","Groningen (PV)","13600","36 jaar","24608721","3000","1010","2023JJ00","2037","  2201.0"
"PV20  ","Groningen (PV)","18700","87 jaar","51556041","4000","1010","2023JJ00","40","    39.5"
"PV20  ","Groningen (PV)","16100","61 jaar","28913513","3000","1050","2023JJ00","46","    93.0"
"PV20  ","Groningen (PV)","16900","69 jaar","48471505","4000","T001019","2023JJ00","3462","  3390.5"
"PV20  ","Groningen (PV)","11800","18 jaar","39929713","4000","1050","2023JJ00","0","     0.0"
"PV20  ","Groningen (PV)","17300","73 jaar","30981169","3000","1080","2023JJ00","375","   366.5"
"PV20  ","Groningen (PV)","13700","37 jaar","6576049","T001038","1080","2023JJ00","366","   380.0"
"PV20  ","Groningen (PV)","15500","55 jaar","27896633","3000","1050","2023JJ00","51","    40.0"
"PV20  ","Groningen (PV)","11200","12 jaar","38912833","4000","1050","2023JJ00","",""
"PV20  ","Groningen (PV)","16700","67 jaar","29964289","3000","1080","2023JJ00","514","   516.5"
"PV20  ","Groningen (PV)","19100","91 jaar","52301753","4000","1050","2023JJ00","449","   537.5"
"PV20  ","Groningen (PV)","12400","24 jaar","40980489","4000","1080","2023JJ00","9","    10.5"
"PV20  ","Groningen (PV)","19700","97 jaar","53522009","4000","1080","2023JJ00","1","     2.5"
"PV20  ","Groningen (PV)","15700","57 jaar","46437745","4000","T001019","2023JJ00","4068","  3984.0"
"PV20  ","Groningen (PV)","10600","6 jaar","37862057","4000","1020","2023JJ00","",""
"PV20  ","Groningen (PV)","18500","85 jaar","51250977","4000","1020","2023JJ00","369","   412.0"
"PV20  ","Groningen (PV)","11800","18 jaar","39963609","4000","1080","2023JJ00","0","     0.0"
"PV20  ","Groningen (PV)","10200","2 jaar","37184137","4000","1020","2023JJ00","",""
"PV20  ","Groningen (PV)","18100","81 jaar","50573057","4000","1020","2023JJ00","747","   858.0"
"PV20  ","Groningen (PV)","10010","0 jaar","36845177","4000","1020","2023JJ00","",""
"PV20  ","Groningen (PV)","17900","79 jaar","50234097","4000","1020","2023JJ00","1076","  1127.0"
"PV20  ","Groningen (PV)","14900","49 jaar","26913649","3000","1080","2023JJ00","412","   374.0"
"PV20  ","Groningen (PV)","19100","91 jaar","52335649","4000","1080","2023JJ00","35","    31.0"
"PV20  ","Groningen (PV)","12400","24 jaar","22541065","3000","T001019","2023JJ00","5428","  5421.0"
"PV20  ","Groningen (PV)","14500","45 jaar","26235729","3000","1080","2023JJ00","338","   286.0"
"PV20  ","Groningen (PV)","17300","73 jaar","49217217","4000","1020","2023JJ00","1902","  1877.5"
"PV20  ","Groningen (PV)","10600","6 jaar","37895953","4000","1050","2023JJ00","",""
"PV20  ","Groningen (PV)","18500","85 jaar","51284873","4000","1050","2023JJ00","820","   833.5"
"PV20  ","Groningen (PV)","14300","43 jaar","25828977","3000","1020","2023JJ00","1350","  1566.0"
"PV20  ","Groningen (PV)","16700","67 jaar","48200337","4000","1020","2023JJ00","2234","  2257.0"
"PV20  ","Groningen (PV)","19904","103 jaar","54538889","4000","1080","2023JJ00","0","     0.0"
"PV20  ","Groningen (PV)","10010","0 jaar","36879073","4000","1050","2023JJ00","",""
"PV20  ","Groningen (PV)","11800","18 jaar","21524185","3000","T001019","2023JJ00","3739","  3486.5"
"PV20  ","Groningen (PV)","13700","37 jaar","24812097","3000","1020","2023JJ00","1348","  1342.5"
"PV20  ","Groningen (PV)","12500","25 jaar","4542289","T001038","1080","2023JJ00","26","    20.0"
"PV20  ","Groningen (PV)","16100","61 jaar","47183457","4000","1020","2023JJ00","2384","  2472.0"
