"Vestigingen van bedrijven; bedrijfstak, regio";;;;;;;;;;;;;;;;;;;;;;
Perioden: 2023;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Bedrijfstakken/branches (SBI 2008);A-U Alle economische activiteiten;A Landbouw, bosbouw en visserij;B Delfstoffenwinning;C Industrie;D Energievoorziening;E Waterbedrijven en afvalbeheer;F Bouwnijverheid;G Handel;H Vervoer en opslag;I Horeca;J Informatie en communicatie;K Financiële dienstverlening;L Verhuur en handel van onroerend goed;M Specialistische zakelijke diensten;N Verhuur en overige zakelijke diensten;O Openbaar bestuur en overheidsdiensten;P Onderwijs;Q Gezondheids- en welzijnszorg;R Cultuur, sport en recreatie;S Overige dienstverlening;T Huishoudens;U Extraterritoriale organisaties
Onderwerp;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen
Regio's;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal
Groningen (PV);65470;3515;30;2420;140;85;5825;9080;1580;2295;3200;3230;895;10515;2925;225;3875;7160;4510;3960;0;0
Fryslân (PV);80905;6140;30;4295;190;110;8755;12035;2120;3105;2635;3905;1080;12120;3450;190;4125;7985;4160;4485;0;0
Drenthe (PV);56030;3720;60;2185;85;80;5375;8905;1045;2060;1950;3225;740;8465;2430;120;3010;6525;2405;3640;0;0
Overijssel (PV);135180;8430;25;5790;195;185;12025;21960;2450;4390;5740;8955;1905;21150;5425;245;7160;15045;6465;7635;5;0
Flevoland (PV);56745;2640;5;1975;195;60;6210;8205;1965;1610;3290;2765;680;8760;3180;75;3180;6600;2215;3135;0;0
Gelderland (PV);271255;12040;40;10695;275;355;27185;37715;5405;8255;11395;17380;4025;47310;12125;460;15660;32735;13420;14775;5;0
Utrecht (PV);202020;3335;15;5340;180;160;16275;22965;4345;5775;13225;12515;2990;45775;9655;320;13930;23605;12425;9190;5;5
Noord-Holland (PV);477365;5825;110;12810;400;490;43305;54960;15920;18825;30805;29840;7660;100155;23885;510;28275;44710;36850;22005;5;10
Zuid-Holland (PV);504685;13325;255;15640;370;595;67375;62700;16795;15070;23975;28370;7170;92055;26160;845;28335;54905;25355;25275;5;110
Zeeland (PV);47245;3580;20;2295;80;60;4890;6475;1495;2740;1200;3040;890;6170;2020;170;2145;5240;1870;2865;5;0
Noord-Brabant (PV);340445;12735;45;15260;360;420;38535;49530;8200;10480;14030;23350;4670;60380;14725;440;17970;33830;16060;19435;5;0
Limburg (PV);121250;4770;35;5120;180;200;10870;18660;3025;5595;4105;6835;1710;18825;5340;265;6075;14865;6150;8615;0;0
Buitenland (PV);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niet in te delen (PV);4695;20;10;1205;15;5;90;1145;100;10;840;110;10;730;115;5;85;60;35;105;0;0
Bron: CBS;;;;;;;;;;;;;;;;;;;;;;
