"Slachtofferschap online criminaliteit; regio";;;;;;;;;;;;;
Marges: Waarde;;;;;;;;;;;;;
Perioden: 2023;;;;;;;;;;;;;
;;Regio's;;;;;;;;;;;
Onderwerp;;Groningen (PV);Fryslân (PV);Drenthe (PV);Overijssel (PV);Flevoland (PV);Gelderland (PV);Utrecht (PV);Noord-Holland (PV);Zuid-Holland (PV);Zeeland (PV);Noord-Brabant (PV);Limburg (PV)
Online criminaliteit|Totaal slachtoffers;%;16,3;14,2;14,8;14,8;16,9;14,7;15;16,9;15,8;15,8;15,6;15,6
Online oplichting en fraude|Totaal slachtoffers;%;8,6;8,5;8,8;9;10,1;8,4;9;10;9,5;9,8;9,6;8,8
Online oplichting en fraude|Aankoopfraude|Totaal slachtoffers;%;6,5;6,7;6,6;6,8;7,6;6,3;6,7;7,5;6,9;7,4;6,9;6,8
Online oplichting en fraude|Verkoopfraude|Totaal slachtoffers;%;1,4;1,3;1,7;1,3;1,7;1,2;1,4;1,5;1,4;1,8;1,4;1,4
Online oplichting en fraude|Fraude betalingsverkeer|Totaal slachtoffers;%;1;0,8;1,4;0,8;1;0,8;1,2;1,3;1,1;0,9;1,1;1,1
Online oplichting en fraude|Identiteitsfraude|Totaal slachtoffers;%;0,6;0,6;0,6;0,6;0,8;0,6;0,8;0,7;0,8;0,7;1,1;0,6
Online oplichting en fraude|Phishing|Totaal slachtoffers;%;1;0,6;1;0,6;0,9;0,7;0,7;0,9;0,9;1;0,9;0,8
Hacken|Totaal slachtoffers;%;6,3;5;5,9;5,4;5,5;5,3;5,4;5,8;5,5;5,5;5,2;6
Hacken|Apparaat|Totaal slachtoffers;%;2,7;2,3;2,8;2,3;2,8;2,2;2,1;2,4;2,3;2,4;2,5;3,3
Hacken|Account|Totaal slachtoffers;%;4,8;3,7;4,9;4,3;4,5;4,4;4,5;4,7;4,6;4,6;4;4,9
Online bedreiging en intimidatie|Totaal slachtoffers;%;3;2,5;2,2;2,2;2,5;2,3;2,3;2,9;2,5;2,1;2,3;2,5
Online bedreiging en intimidatie|Online bedreiging|Totaal slachtoffers;%;1,3;1;0,8;0,8;0,8;0,9;0,9;1;0,8;0,9;0,9;0,8
Online bedreiging en intimidatie|Online pesten|Totaal slachtoffers;%;1,1;0,8;0,9;0,9;1;0,7;1;1,1;0,9;0,6;0,7;1,1
Online bedreiging en intimidatie|Online stalking|Totaal slachtoffers;%;0,6;0,8;0,8;0,6;0,7;0,7;0,7;1;0,9;0,9;0,7;1
Online bedreiging en intimidatie|Shamesexting|Totaal slachtoffers;%;0,3;0,3;0,3;0,3;0,5;0,5;0,2;0,5;0,5;0,3;0,6;0,4
Overige online delicten|Totaal slachtoffers;%;0,3;0,3;0,4;0,4;0,7;0,4;0,5;0,7;0,5;0,7;0,6;0,4
Bron: CBS;;;;;;;;;;;;;
