Tabel 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Digitale vaardigheden, 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Digitale vaardigheden Totaal;Totaal;;;;Totaal;;;;Totaal;;;;Totaal;;;;;;;;;;;;;;;
TOTAAL;Meer dan basisvaardigheden;;;;Basisvaardigheden;;;;Geringe/geen digitale vaardigheden;;;;Kan niet vastgeteld worden;;;;;;;;;;;;;;;
;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;;;;;;;;;;;;
Nederland totaal;49,8;48,5;51,1;;28,9;27,7;30,1;;18,3;17,3;19,3;;3,0;2,5;3,4;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groningen;43,8;36,9;50,8;;35,1;28,4;41,7;;17,8;12,4;23,2;;3,3;0,8;5,8;;;;;;;;;;;;;
Friesland;44,3;37,8;50,8;;33,9;27,7;40,1;;14,8;10,3;19,3;;7,0;3,6;10,4;;;;;;;;;;;;;
Drenthe;44,9;37,5;52,3;;29,1;22,3;35,9;;21,6;15,5;27,7;;4,4;1,6;7,3;;;;;;;;;;;;;
Overijssel;47,9;43,1;52,7;;28,4;24,1;32,7;;20,9;17,1;24,7;;2,8;1,0;4,6;;;;;;;;;;;;;
Flevoland;55,0;46,2;63,9;;26,1;18,3;33,9;;17,4;10,2;24,5;;.;.;.;;;;;;;;;;;;;
Gelderland;46,4;42,9;49,9;;30,7;27,5;34,0;;19,8;16,9;22,7;;3,0;1,8;4,3;;;;;;;;;;;;;
Utrecht;57,6;53,1;62,1;;26,7;22,7;30,8;;13,7;10,6;16,7;;2,0;0,8;3,3;;;;;;;;;;;;;
Noord-Holland;53,6;50,3;56,9;;28,7;25,7;31,7;;15,9;13,5;18,4;;1,8;1,0;2,6;;;;;;;;;;;;;
Zuid-Holland;51,5;48,6;54,5;;27,2;24,6;29,8;;18,3;16,0;20,5;;2,9;1,9;4,0;;;;;;;;;;;;;
Zeeland;39,9;31,5;48,2;;28,3;20,8;35,9;;28,7;20,9;36,4;;3,1;0,1;6,2;;;;;;;;;;;;;
Noord-Brabant;50,3;47,0;53,5;;28,8;25,8;31,8;;17,5;15,0;20,0;;3,4;2,2;4,6;;;;;;;;;;;;;
Limburg;42,2;37,4;47,1;;29,7;25,3;34,1;;24,1;19,8;28,3;;4,0;2,1;6,0;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deelindicator 1;Online communicatie;;;;Online communicatie;;;;Online communicatie;;;;Online communicatie;;;;;;;;;;;;;;;
ONLINE COMMUNICATIE;Meer dan basisvaardigheden;;;;Basisvaardigheden;;;;Geringe/Geen digitale vaardigheden;;;;Kan niet vastgeteld worden;;;;;;;;;;;;;;;
;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;;;;;;;;;;;;
Nederland totaal;94,7;94,1;95,2;;1,9;1,6;2,2;;0,5;0,3;0,6;;3,0;2,5;3,4;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groningen;93,6;90,4;96,9;;1,9;0,2;3,7;;.;.;.;;3,3;0,8;5,8;;;;;;;;;;;;;
Friesland;90,0;86,1;94,0;;1,6;0,0;3,3;;.;.;.;;7,0;3,6;10,4;;;;;;;;;;;;;
Drenthe;93,3;89,9;96,8;;2,2;0,2;4,2;;.;.;.;;4,4;1,6;7,3;;;;;;;;;;;;;
Overijssel;94,8;92,5;97,1;;2,4;0,9;3,9;;.;.;.;;2,8;1,0;4,6;;;;;;;;;;;;;
Flevoland;95,2;91,3;99,0;;.;.;.;;.;.;.;;.;.;.;;;;;;;;;;;;;
Gelderland;94,3;92,6;96,0;;2,1;1,1;3,1;;.;.;.;;3,0;1,8;4,3;;;;;;;;;;;;;
Utrecht;96,9;95,4;98,4;;0,6;0,0;1,2;;.;.;.;;2,0;0,8;3,3;;;;;;;;;;;;;
Noord-Holland;96,3;95,2;97,5;;1,6;0,8;2,4;;.;.;.;;1,8;1,0;2,6;;;;;;;;;;;;;
Zuid-Holland;95,0;93,8;96,3;;1,5;0,8;2,2;;0,5;0,1;0,9;;2,9;1,9;4,0;;;;;;;;;;;;;
Zeeland;93,2;89,1;97,3;;3,2;0,5;5,9;;.;.;.;;3,1;0,1;6,2;;;;;;;;;;;;;
Noord-Brabant;94,3;92,8;95,8;;2,2;1,2;3,1;;.;.;.;;3,4;2,2;4,6;;;;;;;;;;;;;
