"Bevolking; hoogstbehaald onderwijsniveau en regio";;;;;;
Geslacht: Totaal mannen en vrouwen;;;;;;
Leeftijd: 15 tot 75 jaar;;;;;;
Perioden: 2023*;;;;;;
;Onderwerp;;;;;
;Bevolking;Onderwijsniveau 5 categorieën|11 Basisonderwijs;Onderwijsniveau 5 categorieën|12 Vmbo, havo-, vwo-onderbouw, mbo1;Onderwijsniveau 5 categorieën|21 Havo, vwo, mbo2-4;Onderwijsniveau 5 categorieën|31 Hbo-, wo-bachelor;Onderwijsniveau 5 categorieën|32 Hbo-, wo-master, doctor
Regio's;aantal;%;%;%;%;%
Groningen (PV);463400;7,4;16,3;45,1;20;11,2
Fryslân (PV);490200;7,8;19,1;47;19,7;6,4
Drenthe (PV);372300;8,4;18,9;46,5;18,7;7,6
Overijssel (PV);887800;8,2;18,1;44,9;20,3;8,5
Flevoland (PV);341000;8,6;18,5;45,6;19,6;7,6
Gelderland (PV);1608800;8,4;18,1;42,3;20,1;11,1
Utrecht (PV);1050800;7,6;15;36,1;22,2;19
Noord-Holland (PV);2266800;8,3;15,7;37,7;21,6;16,7
Zuid-Holland (PV);2885900;10;17,5;40;19,4;13,2
Zeeland (PV);286100;8,8;20;47,1;17,6;6,6
Noord-Brabant (PV);1993600;8,8;18;41,7;20,8;10,7
Limburg (PV);856500;10,2;19,1;43;19;8,8
Bron: CBS;;;;;;
