Regio's,Online criminaliteit/Totaal slachtoffers (%),Online oplichting en fraude/Totaal slachtoffers (%),Online oplichting en fraude/Aankoopfraude/Totaal slachtoffers (%),Online oplichting en fraude/Verkoopfraude/Totaal slachtoffers (%),Online oplichting en fraude/Fraude betalingsverkeer/Totaal slachtoffers (%),Online oplichting en fraude/Identiteitsfraude/Totaal slachtoffers (%),Online oplichting en fraude/Phishing/Totaal slachtoffers (%),Hacken/Totaal slachtoffers (%),Hacken/Apparaat/Totaal slachtoffers (%),Hacken/Account/Totaal slachtoffers (%),Online bedreiging en intimidatie/Totaal slachtoffers (%),Online bedreiging en intimidatie/Online bedreiging/Totaal slachtoffers (%),Online bedreiging en intimidatie/Online pesten/Totaal slachtoffers (%),Online bedreiging en intimidatie/Online stalking/Totaal slachtoffers (%),Online bedreiging en intimidatie/Shamesexting/Totaal slachtoffers (%),Overige online delicten/Totaal slachtoffers (%),0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,Totaal,Basisonderwijs (%),Vmbo/Havo/Vwo/Mbo1 (%),Havo/Vwo/Mbo2-4 (%),Hbo/Wo-bachelor (%),Hbo/Wo-master/Doctor (%),Bevolkingsdichtheid (aantal inwoners per km²),HighRiskShare,Bbp (marktprijzen) (mln euro),Bbp per inwoner (euro),"Bbp, volumemutaties (%)","Bruto toegevoegde waarde, volumemutaties (%)","Toegevoegde waarde (bruto, basisprijzen) (mln euro)",Meer dan basisvaardigheden,Basisvaardigheden,Geringe/geen digitale vaardigheden,Kan niet vastgeteld worden
Groningen (PV),16.3,8.6,6.5,1.4,1.0,0.6,1.0,6.3,2.7,4.8,3.0,1.3,1.1,0.6,0.3,0.3,48794.0,62461.0,101871.0,72403.0,64326.5,80752.0,75608.5,60857.0,26467.5,1099.0,598711.0,7.4,16.3,45.1,20.0,11.2,257,18.56372409877945,32566,55332,"1,7","2,1",29211,"43,8","35,1","17,8","3,3"
Fryslân (PV),14.2,8.5,6.7,1.3,0.8,0.6,0.6,5.0,2.3,3.7,2.5,1.0,0.8,0.8,0.3,0.3,59921.0,75386.5,77784.5,73947.5,74154.0,96546.0,90060.5,73065.0,33665.0,1347.0,660727.5,7.8,19.1,47.0,19.7,6.4,197,16.08136300417246,25490,39052,"3,5",4,22864,"44,3","33,9","14,8","7,0"
Drenthe (PV),14.8,8.8,6.6,1.7,1.4,0.6,1.0,5.9,2.8,4.9,2.2,0.8,0.9,0.8,0.3,0.4,43424.5,55665.0,51826.0,53510.0,56954.5,75876.0,73646.0,59529.0,27468.5,1089.5,503090.0,8.4,18.9,46.5,18.7,7.6,191,18.672477371773383,18434,37146,"2,8","3,2",16535,"44,9","29,1","21,6","4,4"
Overijssel (PV),14.8,9.0,6.8,1.3,0.8,0.6,0.6,5.4,2.3,4.3,2.2,0.8,0.9,0.6,0.3,0.4,112680.5,139429.5,154161.0,143347.0,138478.0,167880.5,150276.0,116206.5,53830.5,2198.5,1186683.0,8.2,18.1,44.9,20.3,8.5,357,19.470764566033836,53172,45476,"3,8","4,2",47694,"47,9","28,4","20,9","2,8"
Flevoland (PV),16.9,10.1,7.6,1.7,1.0,0.8,0.9,5.5,2.8,4.5,2.5,0.8,1.0,0.7,0.5,0.7,50711.0,55749.0,56051.5,65529.0,57165.0,62191.0,53134.5,33523.0,11642.0,435.5,447763.5,8.6,18.5,45.6,19.6,7.6,315,20.733449753929197,17303,40100,"4,3","4,8",15521,"55,0","26,1","17,4",.
Gelderland (PV),14.7,8.4,6.3,1.2,0.8,0.6,0.7,5.3,2.2,4.4,2.3,0.9,0.7,0.7,0.5,0.4,198986.5,238951.5,270756.0,253769.5,243721.5,309561.0,284939.0,222523.0,99121.5,3918.5,2141389.5,8.4,18.1,42.3,20.1,11.1,430,20.371860500950195,95416,45360,"3,8","4,3",85586,"46,4","30,7","19,8","3,0"
Utrecht (PV),15.0,9.0,6.7,1.4,1.2,0.8,0.7,5.4,2.1,4.5,2.3,0.9,1.0,0.7,0.2,0.5,143728.5,160652.0,189994.0,195228.0,170459.0,189655.0,159265.0,119803.5,54086.0,2336.0,1393850.0,7.6,15.0,36.1,22.2,19.0,935,22.358339068593715,88660,64928,4,"4,5",79527,"57,6","26,7","13,7","2,0"
Noord-Holland (PV),16.9,10.0,7.5,1.5,1.3,0.7,0.9,5.8,2.4,4.7,2.9,1.0,1.1,1.0,0.5,0.7,276375.5,313543.0,402432.5,432928.5,367230.0,408368.5,351170.5,268223.5,120696.5,5105.5,2964554.5,8.3,15.7,37.7,21.6,16.7,1109,19.573005281911144,203766,70285,"6,7","7,2",182774,"53,6","28,7","15,9","1,8"
Zuid-Holland (PV),15.8,9.5,6.9,1.4,1.1,0.8,0.9,5.5,2.3,4.6,2.5,0.8,0.9,0.9,0.5,0.5,377571.5,425256.0,518048.0,525728.0,471209.0,519604.0,451533.5,345126.5,156155.5,7113.0,3822683.0,10.0,17.5,40.0,19.4,13.2,1410,19.23122155981147,200451,53597,"3,5",4,179802,"51,5","27,2","18,3","2,9"
Zeeland (PV),15.8,9.8,7.4,1.8,0.9,0.7,1.0,5.5,2.4,4.6,2.1,0.9,0.6,0.9,0.3,0.7,35514.5,41571.0,41549.0,43736.5,43908.5,57465.5,54337.0,46654.5,21881.5,1125.5,391379.0,8.8,20.0,47.1,17.6,6.6,220,17.124105011933175,17839,46205,"4,7","5,2",16001,"39,9","28,3","28,7","3,1"
