"Geslacht"                ; "Leeftijd"; "Burgerlijke staat"       ; "Regio's"           ; "Perioden"; "Bevolking op 1 januari (aantal)"; "Gemiddelde bevolking  (aantal)"
"Totaal mannen en vrouwen"; "Totaal"  ; "Totaal burgerlijke staat"; "Groningen (PV)"    ; "2023"    ; "  596075"                       ; "598711.0"
"Totaal mannen en vrouwen"; "Totaal"  ; "Totaal burgerlijke staat"; "Fryslân (PV)"      ; "2023"    ; "  659551"                       ; "660727.5"
"Totaal mannen en vrouwen"; "Totaal"  ; "Totaal burgerlijke staat"; "Drenthe (PV)"      ; "2023"    ; "  502051"                       ; "503090.0"
"Totaal mannen en vrouwen"; "Totaal"  ; "Totaal burgerlijke staat"; "Overijssel (PV)"   ; "2023"    ; " 1184333"                       ; "1186683.0"
"Totaal mannen en vrouwen"; "Totaal"  ; "Totaal burgerlijke staat"; "Flevoland (PV)"    ; "2023"    ; "  444701"                       ; "447763.5"
"Totaal mannen en vrouwen"; "Totaal"  ; "Totaal burgerlijke staat"; "Gelderland (PV)"   ; "2023"    ; " 2133708"                       ; "2141389.5"
"Totaal mannen en vrouwen"; "Totaal"  ; "Totaal burgerlijke staat"; "Utrecht (PV)"      ; "2023"    ; " 1387643"                       ; "1393850.0"
"Totaal mannen en vrouwen"; "Totaal"  ; "Totaal burgerlijke staat"; "Noord-Holland (PV)"; "2023"    ; " 2952622"                       ; "2964554.5"
"Totaal mannen en vrouwen"; "Totaal"  ; "Totaal burgerlijke staat"; "Zuid-Holland (PV)" ; "2023"    ; " 3804906"                       ; "3822683.0"
"Totaal mannen en vrouwen"; "Totaal"  ; "Totaal burgerlijke staat"; "Zeeland (PV)"      ; "2023"    ; "  391124"                       ; "391379.0"
"Totaal mannen en vrouwen"; "Totaal"  ; "Totaal burgerlijke staat"; "Noord-Brabant (PV)"; "2023"    ; " 2626210"                       ; "2635474.5"
"Totaal mannen en vrouwen"; "Totaal"  ; "Totaal burgerlijke staat"; "Limburg (PV)"      ; "2023"    ; " 1128367"                       ; "1130811.0"
