"Regio's","Meer dan basisvaardigheden","Basisvaardigheden","Geringe/geen digitale vaardigheden","Kan niet vastgeteld worden"
"Groningen (PV)","43,8","35,1","17,8","3,3"
"Fryslân (PV)","44,3","33,9","14,8","7,0"
"Drenthe (PV)","44,9","29,1","21,6","4,4"
"Overijssel (PV)","47,9","28,4","20,9","2,8"
"Flevoland (PV)","55,0","26,1","17,4","."
"Gelderland (PV)","46,4","30,7","19,8","3,0"
"Utrecht (PV)","57,6","26,7","13,7","2,0"
"Noord-Holland (PV)","53,6","28,7","15,9","1,8"
"Zuid-Holland (PV)","51,5","27,2","18,3","2,9"
"Zeeland (PV)","39,9","28,3","28,7","3,1"
"Noord-Brabant (PV)","50,3","28,8","17,5","3,4"
"Limburg (PV)","42,2","29,7","24,1","4,0"
