"Regio's";"Totaal";"A Landbouw, bosbouw en visserij";"B Delfstoffenwinning";"C Industrie";"D Energievoorziening";"E Waterbedrijven en afvalbeheer";"F Bouwnijverheid";"G Handel";"H Vervoer en opslag";"I Horeca";"J Informatie en communicatie";"K Financiële dienstverlening";"L Verhuur en handel van onroerend goed";"M Specialistische zakelijke diensten";"N Verhuur en overige zakelijke diensten";"O Openbaar bestuur en overheidsdiensten";"P Onderwijs";"Q Gezondheids- en welzijnszorg";"R Cultuur, sport en recreatie";"S Overige dienstverlening";"T Huishoudens";"U Extraterritoriale organisaties"
"Groningen (PV)";"70460";"3590";"30";"2560";"150";"95";"6770";"9585";"1645";"2520";"3455";"1815";"1020";"12365";"3565";"255";"4200";"7810";"4815";"4215";"0";"0"
"Fryslân (PV)";"86280";"6220";"30";"4500";"220";"135";"9565";"12455";"2245";"3275";"2825";"2330";"1275";"14315";"4190";"155";"4535";"8720";"4420";"4870";"0";"0"
"Drenthe (PV)";"59660";"3765";"70";"2370";"110";"85";"5925";"9355";"1100";"2120";"2175";"1925";"880";"10010";"2850";"125";"3255";"7040";"2675";"3820";"0";"0"
"Overijssel (PV)";"145115";"8400";"25";"6085";"230";"210";"13325";"23160";"2715";"4660";"6390";"5425";"2275";"25930";"6600";"205";"7840";"16440";"7025";"8170";"5";"0"
"Flevoland (PV)";"62990";"2715";"5";"2180";"230";"60";"6960";"8945";"2300";"1835";"3755";"1545";"835";"10390";"4160";"90";"3415";"7760";"2425";"3390";"0";"0"
"Gelderland (PV)";"292045";"12080";"40";"11465";"345";"395";"30030";"39900";"5790";"8975";"12745";"9995";"4750";"56270";"14905";"445";"17005";"36755";"14495";"15650";"0";"0"
"Utrecht (PV)";"217950";"3340";"15";"5740";"210";"180";"17605";"24110";"4875";"6495";"14850";"7485";"3460";"52500";"11895";"330";"15330";"26395";"13390";"9730";"5";"0"
"Noord-Holland (PV)";"517805";"6015";"120";"13805";"455";"560";"47300";"58065";"18685";"21910";"34410";"16635";"9105";"116460";"29500";"555";"31410";"50305";"39035";"23470";"5";"10"
"Zuid-Holland (PV)";"552695";"13785";"265";"16880";"425";"650";"74960";"66595";"19300";"16975";"27145";"16195";"8475";"108085";"33095";"850";"31725";"62950";"27385";"26840";"5";"115"
"Zeeland (PV)";"50280";"3565";"20";"2520";"85";"55";"5455";"6910";"1620";"2860";"1330";"1675";"1100";"7750";"2335";"180";"2230";"5605";"1985";"3005";"5";"0"
"Noord-Brabant (PV)";"366420";"12790";"45";"16090";"420";"455";"42175";"51850";"8900";"11245";"15985";"13585";"5610";"72980";"18350";"430";"19695";"37855";"17325";"20630";"5";"0"
"Limburg (PV)";"129835";"4765";"40";"5340";"200";"230";"12110";"19605";"3305";"5830";"4595";"3920";"2030";"22485";"6545";"260";"6625";"16310";"6685";"8945";"0";"0"
